#{"t_start": 1728372976.4312315, "env_id": "None"}
r,l,t
36.538916,36,65622.058441
35.51396,36,65629.3899
39.509339,35,65637.087346
36.598125,39,65643.975872
34.62749,36,65650.842919
37.194759,39,65658.983336
41.236527,37,65666.66887
33.445375,39,65674.052349
42.882937,42,65681.844707
38.629215,39,65690.233403
57.521273,39,65697.515695
38.670733,36,65704.441889
37.925202,31,65710.78678
38.384954,36,65717.83217
28.00717,35,65725.173143
36.112693,33,65731.987109
37.723991,36,65740.641279
36.38226,31,65747.48474
45.459243,35,65752.856427
42.176719,37,65759.484259
36.44059,37,65767.407545
37.776278,34,65774.167155
34.05122,36,65782.008819
39.137033,37,65788.694134
35.240036,41,65798.998501
41.379062,36,65805.672148
43.113795,37,65812.262336
40.965962,36,65819.894807
39.963787,38,65827.107663
47.836826,36,65833.283937
46.973949,38,65840.602652
45.940252,34,65847.207344
37.778689,40,65855.800159
37.562878,35,65863.57997
41.077329,34,65869.633012
40.415306,38,65876.615599
36.306086,38,65884.475311
42.661127,34,65891.679307
42.148813,33,65897.794909
36.485529,30,65903.677742
42.073407,35,65910.262574
38.548798,33,65916.34428
46.410186,34,65922.364701
42.943251,38,65929.959104
44.290364,47,65937.929438
38.37837,37,65944.699133
1.134718,42,65951.690542
43.501568,33,65957.499919
38.32891,36,65964.371558
37.145902,37,65972.653717
40.606305,37,65980.189744
39.358684,37,65988.146558
39.259946,39,65995.798344
36.563984,38,66002.443429
41.178325,35,66009.586587
38.00837,32,66017.050572
46.594246,35,66022.558676
38.807265,39,66031.043996
39.088854,33,66037.582795
36.874599,38,66044.345222
41.928118,38,66050.649601
39.078324,34,66057.903852
34.421534,37,66064.736082
37.839509,37,66072.278893
32.155126,37,66080.676673
47.147224,39,66087.650342
43.727304,38,66095.439788
37.969678,42,66102.637095
43.274545,34,66108.751376
36.228362,37,66116.89395
38.523359,40,66124.123219
44.846426,35,66129.683498
41.685043,37,66135.643746
43.546372,34,66142.326822
37.638956,41,66149.067154
34.178194,36,66156.32215
41.495523,33,66163.152012
26.447,45,66173.878793
38.778079,39,66181.124377
41.618102,35,66188.002512
47.730265,40,66195.214187
44.076825,31,66200.266673
30.352695,32,66206.675741
36.895753,38,66213.947047
37.826894,38,66222.217502
42.840668,37,66229.264063
43.638897,37,66235.296515
42.847261,39,66242.253585
39.831684,40,66249.045341
39.541997,35,66255.785613
40.652164,39,66263.697203
38.98664,35,66270.523673
42.945443,37,66277.242816
47.669207,36,66283.299954
37.054085,37,66289.723168
41.677277,32,66296.233649
35.173134,40,66304.273613
37.382399,38,66311.613686
45.858052,39,66318.203316
47.400726,39,66324.406588
40.841442,36,66330.270126
41.546177,34,66337.324467
41.85781,33,66343.438789
35.187003,37,66350.669811
37.276575,38,66357.850584
41.996655,31,66364.151505
38.150345,35,66369.853662
35.717433,38,66378.19687
30.655616,37,66384.884368
42.13224,40,66392.14192
35.999906,39,66400.752949
36.200087,41,66409.426915
38.410861,34,66415.033626
37.520109,45,66424.797143
43.209728,38,66430.681599
35.664253,37,66438.122464
38.530178,35,66444.898517
36.805249,38,66452.375111
41.743816,33,66458.699857
55.230416,48,66467.250018
44.665563,34,66473.330314
33.894118,32,66480.252328
45.605455,35,66486.524743
38.479515,51,66495.578425
38.076973,36,66503.415217
34.411467,38,66511.602857
39.921759,37,66519.069959
39.449317,38,66526.908823
41.865889,31,66533.260211
41.54741,32,66539.878453
42.217146,38,66546.068486
40.768355,45,66554.729022
35.92383,38,66564.18316
44.323325,38,66570.576283
43.953441,35,66577.632762
34.810686,41,66585.902759
36.509139,50,66597.045356
45.062051,32,66603.377237
28.852377,56,66617.565966
34.807241,39,66625.686682
42.379516,36,66632.775556
40.520009,33,66639.28269
37.088452,44,66649.447093
35.847277,34,66656.781576
42.700255,32,66662.906906
33.986299,35,66670.995599
49.412791,42,66678.35912
37.672363,38,66685.796587
38.04344,36,66692.493644
36.898863,37,66699.508903
39.372983,35,66705.500877
42.335901,34,66712.208578
36.565136,37,66720.007547
45.894627,35,66726.483283
35.651831,42,66735.375123
39.932753,37,66743.331285
47.515812,34,66749.584229
39.739385,37,66756.932283
38.670044,34,66764.444748
49.952373,40,66770.956092
40.568103,43,66778.493979
34.276694,35,66785.004366
38.797515,33,66791.458139
37.020746,46,66800.402824
41.715702,37,66806.846349
34.482369,39,66814.675346
39.606261,37,66821.485232
32.544263,39,66829.295744
36.985493,30,66836.131364
41.852611,37,66841.766064
38.714978,33,66848.304855
34.166136,39,66855.314907
46.776474,35,66861.277032
36.268549,34,66868.996069
38.599499,36,66875.496604
40.95998,35,66882.404071
41.316138,38,66889.845834
31.408052,42,66897.961951
43.725436,40,66904.519224
30.715204,36,66912.306089
44.707943,35,66918.328051
42.27893,40,66926.07008
41.580506,37,66932.752359
43.47451,37,66939.513157
39.263942,42,66948.364462
43.091862,33,66954.905505
36.62126,35,66961.899251
33.886342,40,66971.226611
40.724434,36,66978.389246
36.819405,37,66984.776488
38.163733,32,66991.495302
35.762335,37,66998.758812
37.652905,39,67007.50863
34.034096,33,67013.983048
39.597397,39,67020.682919
40.322779,38,67028.273159
25.887823,39,67036.003075
38.535519,37,67043.470011
38.041636,38,67051.853995
35.65013,38,67059.729022
42.435066,37,67065.764249
29.998459,44,67073.845969
34.005141,38,67082.365
34.330206,36,67090.084699
54.281688,35,67096.192343
39.694705,37,67102.232803
39.054236,35,67108.6377
39.149035,37,67115.183227
39.816338,42,67122.043257
37.048657,41,67131.224526
34.683517,37,67139.353964
35.684263,38,67147.504222
39.402363,33,67154.821565
41.520509,38,67161.144165
32.570829,37,67169.045291
38.943008,38,67176.958112
37.492772,42,67184.039142
39.599962,37,67191.131506
37.900051,36,67198.601294
37.120665,36,67204.672292
40.104716,34,67210.534643
35.773116,39,67218.198511
41.516463,36,67224.628644
43.89711,35,67232.460562
48.47871,35,67238.595276
40.240439,35,67245.200771
37.513109,40,67253.049389
40.462167,40,67259.960678
37.141541,38,67267.364439
36.617662,40,67274.564948
39.335451,35,67280.669184
36.554104,44,67289.968863
36.956892,42,67299.368382
40.167073,37,67305.965624
42.654448,34,67312.597736
36.960458,39,67320.162422
39.222022,36,67327.489825
39.201202,31,67333.431049
43.305683,34,67340.243081
31.959704,35,67347.426243
39.318043,34,67354.459381
41.229803,38,67360.811313
40.599021,40,67367.457599
40.057225,36,67374.073685
31.269247,35,67382.870659
40.630298,35,67389.419306
37.836823,38,67396.559604
36.059138,37,67402.705312
40.083219,35,67409.497579
38.764028,43,67420.091364
43.712975,36,67427.850466
36.117177,38,67436.793015
40.233332,33,67443.209062
35.950492,44,67452.858903
38.370407,37,67460.676609
38.045467,36,67467.564173
38.555392,41,67476.176918
43.111937,39,67482.99169
35.761243,37,67490.287296
35.541786,36,67497.606236
36.11084,40,67505.450114
35.449685,39,67513.218625
41.312332,43,67520.926721
34.310883,38,67529.013634
37.922511,40,67538.3298
40.223521,35,67544.140811
51.72948,36,67550.286666
34.680247,38,67558.275943
39.561656,32,67564.745334
36.470731,33,67571.634209
47.533186,33,67577.55841
42.174651,34,67583.164897
40.870754,34,67590.519272
27.591147,35,67597.778309
37.900058,44,67604.84143
34.374769,40,67612.884028
45.954671,35,67618.94379
41.689278,34,67625.748992
37.397947,42,67634.404904
40.726777,36,67641.721947
35.080472,37,67649.624112
32.290857,38,67657.282194
50.671249,39,67663.136552
35.986018,35,67669.372894
35.591187,39,67676.093061
33.388226,38,67683.488319
42.53805,33,67690.152393
33.461053,34,67696.355777
35.911502,39,67703.7835
43.799915,38,67710.296896
36.171348,33,67716.235929
38.773861,41,67724.178118
